1,10
2,20
3,30
4,15
5,25
6,18
7,21
8,13
9,2
10, 15
11, 13
12, 8
13, 15
14, 22
15, 22
16, 18
17, 27
18, 34
19, 30
20, 29
21, 36
22, 35
23, 35
24, 37
25, 32
26, 35
27, 41
28, 41
29, 50
30, 47
31, 55
32, 63
33, 66
34, 67
35, 69
36, 77
37, 83
38, 82
39, 91
40, 89
41, 85
42, 95
43, 104
44, 110
45, 120
46, 129
47, 125
48, 123
49, 131
50, 140
51, 142
52, 148
53, 152
54, 159
55, 168
56, 176
57, 175
58, 185
59, 189
60, 190
61, 195
62, 204
63, 210
64, 216
65, 211
66, 216
67, 220
68, 223
69, 229
70, 233
71, 241
72, 251
73, 260
74, 265
75, 262
76, 259
77, 258
78, 254
79, 260
80, 259
81, 268
82, 275
83, 279
84, 277
85, 287
86, 292
87, 298
88, 302
89, 304
90, 305
91, 311
92, 309
93, 309
94, 309
95, 314
96, 318
97, 319
98, 317
99, 320
100, 330
101, 332
102, 329
103, 338
104, 341
105, 341
106, 337
107, 338
108, 346
109, 341
